phrase,count
środowisko gospodarka wodny,304
morski energetyka wiatrowy,293
ministerstwo klimat środowisko,287
poprawa jakość powietrze,279
fit for 55,165
fundusz ochrona środowisko,288
efektywność energetyczny budynek,139
minister klimat środowisko,111
odnawialny źródł energia,94
unijny polityka klimatyczny,86
środek ochrona roślina,79
opakowanie tworzywo sztuczny,74
system zieleń miasto,3
lądowy farma wiatrowy,61
alternatywny źródło energia,60
pakiet fit for,60
zerowy emisja netto,56
instalacja odnawialny źródło,57
budowa morski farma,56
wpływ środowisko naturalny,56
prawo emisja co2,55
pochodzić źródło odnawialny,54
rozwój morski energetyka,53
strefa czysty transport,52
milion tona co2,53
produkcja zielony wodór,51
nowelizacja ustawa oze,51
procent emisja co2,51
budowa farm wiatrowy,51
jakość powietrze polska,50
uprawnienie emisja dwutlenek,51
odpad tworzywo sztuczny,50
ładować samochód elektryczny,48
program ochrona powietrze,48
źródło energia odnawialny,48
klimatyczny unia europejski,48
cykl życie produkt,47
produkcja zielony energia,46
ładować pojazd elektryczny,45
osiągnąć zerowy emisja,44
produkcja energia źródło,44
idea zrównoważony rozwój,44
rzecz energia klimat,43
pochodzić odnawialny źródło,43
emisja zielony obligacja,42
un global compact,42
związać zrównoważonym rozwój,42
dotyczyć ochrona środowisko,42
poprawić jakość powietrze,42
zakres zrównoważony rozwój,70
wzrost cena uprawnienie,69
lądowy energetyka wiatrowy,68
opłata gospodarować odpad,165
odbierać odpad komunalny,38
decyzja środowiskowy uwarunkowanie,36
czystość porządek gmina,73
odprowadzać woda opadowy,35
ocena oddziaływanie środowisko,60
woda odprowadzać ściek,34
zbiorowy zaopatrzenie woda,32
ochrona środowisko ocena,28
ilość zużyty woda,25
inspekcja ochrona środowisko,24
system gospodarować odpad,20
zbiorowy odprowadzać ściek,20
wydać decyzja środowiskowy,19
ochrona środowisko hałas,17
powstawać odpad komunalny,17
program ochrona środowisko,16
system kanalizacja deszczowy,12
stowarzyszenie energetyka wiatrowy,126
strategia zrównoważony rozwój,123
instytut energetyka odnawialny,117
inwestycja odnawialny źródło,110
wykorzystać odnawialny źródło,90
ustawa odnawialny źródło,86
gospodarować odpad komunalny,84
związać zmiana klimat,75
strategia rzecz odpowiedzialny,74
ograniczyć emisja gaz,107
energia odnawialny źródło,100
system handel uprawnienie,103
odnawialny źródło energia,107
emisja dwutlenek węgiel,65
gospodarka obieg zamknięty,45
program czysty powietrze,36
gospodarka obieg zamknąć,33
osiągnąć neutralność klimatyczny,27
europejski zielony ład,26
spraw zrównoważony rozwój,22
spraw zmiana klimat,22
walka zmiana klimatyczny,22
redukcja emisja gaz,21
skutek zmiana klimat,19
ochrona środowisko gospodarka,18
walka zmiana klimat,18
wzrost cena energia,17
budowa elektrownia jądrowy,17
poprawa efektywność energetyczny,17
zielony zamówienie publiczny,17
cel zrównoważony rozwój,17
szczyt klimatyczny katowicach,16
szczyt klimatyczn cop,16
prawo ochrona środowisko,15
rozwój odnawialny źródło,15
sprawa zmiana klimat,15
dwutlenek węgiel atmosfera,15
konferencja klimatyczny cop,15
energia źródło odnawialny,14
zespół spraw zmiana,14
cel neutralność klimatyczny,14
fundusz sprawiedliwy transformacja,14
adaptacja zmiana klimat,14
społeczny odpowiedzialność biznes,14
system handel emisj,13
cel redukcja emisja,13
dopuszczalny poziom hałas,12
skutek globalny ocieplenie,12
ekstremalny zjawisko pogodowy,12
cena uprawnienie emisja,12
związać ochrona klimat,12
forum odpowiedzialny biznes,12
działanie rzecz ochrona,11
rzecz ochrona klimat,11
zmiana klimat ipcc,11
źródło energia oze,10
zasada zrównoważony rozwój,10
ograniczyć emisja dwutlenek,10
międzynarodowy agencja energia,10
rozwój energetyka wiatrowy,10
walka czysty powietrze,10
rozwój energetyka jądrowy,10
rzecz zrównoważony rozwój,9
udział odnawialny źródło,9
nowy zielony ład,9
odpowiadać procent emisja,9
urząd regulacja energetyka,9
podwyżka cena prąd,9
wpływ zmiana klimat,9
ochrona środowisko naturalny,9
podwyżka cena energia,8
polityka klimatyczny ue,8
wzrosnąć st c,8
transformacja energetyczny polska,8
globalny polityka klimatyczny,8
procent emisja gaz,8
stan środowisko naturalny,8
ograniczać emisja gaz,8
szczyt klimatyczny cop,7
objąć system kaucyjny,7
energia efektywność energetyczny,7
szczyt klimatyczn onz,7
negatywny wpływ środowisko,7
polski alarm smogowy,7
poziom dwutlenek węgiel,7
handel uprawnienie emisja,7
skutek zmiana klimatyczny,7
redukcja emisja co2,58
uprawnienie emisja co2,52
ograniczyć emisja co2,40
zmniejszyć emisja co2,20
szczyt klimatyczn cop24a,14
koszt emisja co2,12
neutralność klimatyczny 2050,43
morski farma wiatrowy,23
walka globalny ocieplenie,18
budowa elektrownia atomowy,17
szczyt klimatyczny paryż,14
działanie rzecz klimat,14
zakres ochrona środowisko,14
energia wiatrowy słoneczny,13
ograniczyć globalny ocieplenie,13
temperatura ziemia wzrosnąć,12
odejść paliwo kopalny,12
kierunek neutralność klimatyczny,11
zmiana klimatyczny spowodować,11
szczyt klimatyczny glasgow,10
znacząco oddziaływać środowisko,12
uzyskać decyzja środowiskowy,12
rynek żywność ekologiczny,12
akcyza energia elektryczny,12
ekologiczny metoda produkcja,11
masowy śnięć ryba,10
ekstremalny warunki pogodowy,0
spowodować zmiana klimat,0
walczyć zmiana klimat,0
wzgląd zmiana klimat,0
uciekający katastrofalny susz,0
zmiana klimatyczny prowadzić,0
młodzieżowy strajk,0
strajk klimatyczny,0
wpływ zmiana klimat,0
marnowania produkt spożywczy,0
emisja gaz cieplarniany,74
związać ochrona środowisko,53
ustawa ochrona przyroda,52
inspektor ochrona środowisko,42
obszar natura 2000,39